,tweet
0,@KJP46 @POTUS For the hundredth time there’s no climate crisis. People have been saying that for over 80 years an wrong every time. Just like they are now is all false an lies.
1,"RT @GOP: Biden’s decision to rejoin the Paris Climate Agreement could cost Americans between 400,000 and 2.7 million jobs."
2,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions
3,RT @drjulie_b: Is it my dog or is it 100 companies producing 70% of global emissions
4,"RT @Komaniecki_R: I may be on the struggle bus, but at least I'm emitting 90% less air pollution than I would be if I traveled via struggle…"
5,"RT @wbcsd: “Land is part of our climate assets – agriculture has a huge part in that too” said @djhayes01, Special Assistant to the Preside…"
6,RT @SvenjaKeele: Paper on ‘consultants and the business of climate services’ out in special issue of Climatic Change offering critical take…
7,Climate change is what worries me most. I worry for the future of my grandchildren.  #climatechange #auspol Australia’s climate change targets will come under pressure from the Quad says senior Democrat John Podesta https://t.co/VZdOrKTIY1
8,"Immigration can be a solution in Syracuse. 

Let’s build the housing and fund the streets to populate our city with 15000 new residents over 5 years. We have the space to allow climate change and violence fleeing refugees to reestablish a new livelihoods and create a home."
9,"From racial justice &amp; voting access to climate change &amp; pandemic recovery, humanities and social sciences research helps us to understand where we've been &amp; the challenges we face. Congratulations #CarnegieFellows! https://t.co/RPpdz4zvn5 https://t.co/a6rFDARdRE"
10,"Pressing needs of 🇺🇸?

- Record-low wages &amp; high inequality
- Record student debt &amp; cost of education
- Medical care is NOT yet a right in the wealthiest country in the 🌎 (🇺🇸)
- Frontline workers swamped in student loans, w our lives on the line
- Climate crisis

#JointAddress"
11,Podesta: Quad will demand Australia does more on climate change https://t.co/7lMc7JixWz
12,"@RepHarshbarger Guys, @RepHarshbarger is anti-worker. She could care less if you make pennies as long as her donors are ok."
13,RT @climateprayer: Sweden to launch emissions fees to tackle climate impacts of aviation. Sounds good. #Pray the idea takes off. https://t.…
14,"it has to do with climate; colder places are harder to survive in, so anxiety protects us."
15,"Chinese #steel sector hit on VAT rebate change is positive for $BSL and $SGM but may hit #IronOre demand into $BHP, $RIO and $FMG. #markets #investing #trading #asx #stockmarkets #stocks #commodities #miners"
16,"RT @banditelli: ""When I think climate change I think jobs"" is basically @sunrisemvmt's slogan"
17,"RT @JohnFetterman: Damn right. This is exactly what I’ve been saying for years.

Let’s transition to clean energy, uphold the union way of…"
18,"RT @TalKopan: ""For me, when I think about climate change, I think jobs. … There’s no reason the blades for wind turbines can’t be built in…"
19,RT @SecretaryPete: We're not going to choose between good-paying jobs and climate security. The American Jobs Plan recognizes that the two…
20,#bitcoin = 10% of global greenhouse emissions?
21,"RT @DemocraticAGs: .@JoeBiden is right: The climate crisis isn’t an American problem—it’s a global problem.

And that’s why Dem AGs took ne…"
